University,TOEFL,Bachelor GPA,IELTS,International Baccalaureate,GMAT,GPA,Cambridge CAE Advanced,GRE,SAT,Year 12 scores,Own admission test,CAT,A-levels,PTE Academic,ACT,ATAR,STAT,AS-levels,AP,LSAT,UCAS Tariff,QTAC,OP,SQA Advanced,SQA Highers
Tecnológico de Monterrey,80+,3+,6+,24+,500+,2.9+,,,,,,,,,,,,,,,,,,,
Universidad de Lima,,,6+,28+,,3+,,,,,,,,,,,,,,,,,,,
"European University, Georgia",72+,,5.5+,,,,,,,,,,,,,,,,,,,,,,
Ecole Polytechnique,90+,,6.5+,,,3.2+,176+,,,,,,,,,,,,,,,,,,
Rennes School of Business,80+,,6+,,,2.5+,,,,,,,,,,,,,,,,,,,
Alma Mater Studiorum - Università di Bologna,,,,,,,,,,,,,,,,,,,,,,,,,
ESILV - Engineering School,,,,,,,,,,,,,,,,,,,,,,,,,
Tilburg University,80+,,6+,24+,550+,3.5+,180+,160+,1170+,,,,,,,,,,,,,,,,
Saveetha Institute of Medical And Technical Sciences (SIMATS),,,,24+,,,,,,50+,50+,45+,50+,,,,,,,,,,,,
University of New York in Prague,72+,,6+,,,,,,,,,,,,,,,,,,,,,,
Airlangga University,,,,,,,,,,,,,,,,,,,,,,,,,
Dalhousie University,90+,,6.5+,26+,550+,3+,180+,,1100+,,,,,61+,,,,,,,,,,,
University of the Fraser Valley,80+,,6+,30+,,2.4+,180+,,,,,,,56+,,,,,,,,,,,
National University of Singapore (NUS),85+,,6+,37+,550+,3.6+,180+,320+,1250+,,,,,62+,29+,90+,,,,,,,,,
Università degli Studi di Udine,,,,,,,,,,,,,,,,,,,,,,,,,
Tilburg University,80+,,6+,24+,550+,3.5+,180+,160+,1170+,,,,,,,,,,,,,,,,
Future University in Egypt,,,5+,24+,,,,,,,,,,,,,,,,,,,,,
Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,,
Seton Hall University,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah College of Art and Design,85+,,6.5+,,,3+,,,1080+,,,,,,21+,,,,,,,,,,
San Ignacio University,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin School of Business and Innovation,72+,2.25+,6+,27+,,2.5+,,,,,,,,,,,,,,,,,,,
Glion Institute of Higher Education,70+,,5+,,,,180+,,,,,,,,,,,,,,,,,,
United International Business School (UIBS),79+,,6+,,,,180+,,,,,,,,,,,,,,,,,,
John Hopkins Carey Business School,100+,,7+,37+,650+,3.7+,,313+,1480+,,,,,70+,34+,,,,,,,,,,
National Taiwan University of Science and Technology (Taiwan Tech),47+,,4+,,,,,,,,,,,,,,,,,,,,,,
Department of Classics,,,,,,,,,,,,,,,,,,,,,,,,,
"Lingnan University, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,
Al-Azhar University,,,,,,,,,,,,,,,,,,,,,,,,,
Technical University of Denmark,88+,,6.5+,,,,180+,,,,,,,,,,,,,,,,,,
University of the West of England,90+,,6.5+,,,,176+,,,,,,,62+,,,,,,,,,,,
Universidad del Pacífico,+,,+,,+,+,,+,+,,,,,,,+,+,,,,,,,,
IE School of Science and Technology,100+,,7+,,650+,,,,1200+,,,,,,,,,,,,,,,,
Trinity Business School,90+,,6.5+,27+,,,180+,,1250+,,,,,63+,27+,,,,,,,,,,
Abai Kazakh National Pedagogical University,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor's University,79+,,6+,24+,,2+,,,,,,,,,,65+,,,,,,,,,
IU International University of Applied Sciences,,,,,,,,,,,,,,,,,,,,,,,,,
Miami University,80+,,6.5+,,,2.75+,,,1100+,,,,,,,,,,,,,,,,
University of Edinburgh Business School ,92+,3.25+,6.5+,34+,600+,2+,176+,,1290+,,,,,,27+,92+,,,,,,,,,
Marwadi University,,,,,,,,,,,,,,,,,,,,,,,,,
University of Oulu,78+,,6+,27+,,2.8+,,,,,,,,54+,,,,,,,,,,,
IPB University (aka Bogor Agricultural University),,,,,,,,,,,,,,,,,,,,,,,,,
Gulf University for Science and Technology,51+,2.5+,4.5+,,,,,,,,,,,,,,,,,,,,,,
SRH Fernhochschule – The Distance Learning University,,,,,,,,,,,,,,,,,,,,,,,,,
Tilburg University,80+,,6+,24+,550+,3.5+,180+,160+,1170+,,,,,,,,,,,,,,,,
The London School of Economics and Political Science (LSE),,,,,,,,,,,,,,,,,,,,,,,,,
The Education University of Hong Kong,80+,,6+,,,,,,,,,,,,24+,,,,,,,,,,
Université de Montréal ,90+,,6.5+,33+,570+,3+,,307+,1400+,,,,,,33+,,,,,,,,,,
Swiss Educational College,,,6+,,,,,,,,,,,,,,,,,,,,,,
UPES,,2.7+,6+,24+,400+,2.5+,,,1180+,50+,,,,,,,,,,,,,,,
Prince Sattam Bin Abdulaziz University,,,,,,,,,,,,,,,,,,,,,,,,,
Instituto Tecnológico de Sonora (ITSON),,,,,,,,,,,,,,,,,,,,,,,,,
Leiden University,80+,,6+,,,,180+,,,,,,,,,,,,,,,,,,
Northwestern Polytechnical University,80+,2.8+,6+,30+,,2.8+,180+,,,,,,,,,,,,,,,,,,
University of Exeter Business School,90+,,6.5+,,,3.2+,,,,,,,,,,,,,,,,,,,
Universidad Europea de Madrid,,,6.5+,,,,,,,,,,,,,,,,,,,,,,
Thammasat University,61+,,6+,27+,550+,2.5+,,308+,1200+,,,,,,24+,,,,,,,,,,
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",79+,,6+,,,,,,,,,,,,,,,,,,,,,,
Heriot-Watt University,78+,3.3+,6+,27+,590+,3+,169+,,1400+,,,,,50+,30+,80+,,,,,,,,,
IED - Istituto Europeo di Design,72+,,5+,,,,,,,,0+,,,,,,,,,,,,,,
ALMAAREFA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Peter's University,79+,3+,6.5+,,,,,,,,,,,53+,,,,,,,,,,,
NEOMA Business School France,80+,,6+,,,2.2+,,,,,,,,,,,,,,,,,,,
University of Kent,72+,2.7+,5.5+,34+,,3.2+,176+,,1290+,,,,,62+,27+,87+,,,,,,,,,
The Hong Kong University of Science and Technology,80+,,6+,37+,570+,3.2+,180+,,1290+,,,,,,27+,90+,,,,,,,,,
IE Business School,90+,,7+,36+,650+,3.2+,180+,,1200+,,,,,,24+,,,,,,,,,,
Deusto Business School - University of Deusto,,7+,6.5+,,,,,,,,,,,,,,,,,,,,,,
Prince Mohammad Bin Fahd university,83+,,6+,24+,,2+,,,,,,,,,,,,,,,,,,,
Macao Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,,
University of Technology Sydney,79+,,6.5+,24+,550+,2.6+,176+,,1090+,,,,,58+,,69+,,,,,,,,,
James Cook University,74+,,6+,24+,590+,2.4+,169+,,1000+,,,,4.5+,52+,22+,90+,,,,,,,,,
European University Cyprus,79+,3+,6.5+,27+,,,,,,,,,,,,,,,,,,,,,
University of Exeter Business School,90+,,6.5+,,,3.2+,,,,,,,,,,,,,,,,,,,
"City, University of London",100+,,6+,30+,600+,3.2+,162+,310+,1300+,,,,,51+,,,,,,,,,,,
University of Jordan,59+,,5+,,,,,,,,,,,,,,,,,,,,,,
IE Business School,90+,,7+,36+,650+,3.2+,180+,,1200+,,,,,,24+,,,,,,,,,,
Istituto Marangoni,,,6+,,,,,,,,,,,,,,,,,,,,,,
Universidad del Rosario,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Católica de Cuenca,,,,,,,,,,,,,,,,,,,,,,,,,
The Hong Kong University of Science and Technology,80+,,6+,37+,570+,3.2+,180+,,1290+,,,,,,27+,90+,,,,,,,,,
Rochester Institute of Technology (RIT),,,,,,,,,,,,,,,,,,,,,,,,,
New York University Tandon School of Engineering,90+,,7+,37+,714+,3+,180+,299+,1440+,,,,,65+,32+,,,,,,,,,,
Universidad del Rosario,,,,,,,,,,,,,,,,,,,,,,,,,
San Ignacio University,,,,,,,,,,,,,,,,,,,,,,,,,
ESCP Business School - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
ALMAAREFA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,
Hult International Business School,80+,,6+,,,,,,,,,,,,,,,,,,,,,,
Lund University,90+,3+,6.5+,30+,,2.8+,,,,,,,,,,,,,,,,,,,
Ashland University,,,,,,,,,,,,,,,,,,,,,,,,,
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",79+,,6+,,,,,,,,,,,,,,,,,,,,,,
Les Roches Global Hospitality Management Education,70+,,6+,,,2.5+,160+,,,,,,,,,,,,,,,,,,
Université Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,,,,
University of Otago,80+,,6+,24+,550+,2.8+,176+,,1190+,,,,,50+,24+,74+,,,,,,,,,
Luxembourg School of Business,,,,,,,,,,,,,,,,,,,,,,,,,
BI Norwegian Business School,80+,3.5+,6+,20+,600+,3.5+,180+,158+,,,,,,59+,,,,,,,,,,,
ICN Business School,80+,,6+,34+,,,168+,,,,,,,,,,,,,,,,,,
Frankfurt School of Finance and Management,90+,,7+,,640+,3.2+,170+,,,,,,,70+,,,,,,,,,,,
Universitat Autònoma de Barcelona,90+,,6.5+,24+,,2+,,,,,,,,,,,,,,,,,,,
Katz Graduate School of Business,80+,3.25+,6.5+,,562+,2.75+,,304+,1280+,,,,,,,,,,,,,,,,
Northern Borders University,,,,,,,,,,,,,,,,,,,,,,,,,
Kangwon National University,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad de Guadalajara (UDG),42+,,4+,24+,,2+,140+,,,,,,,43+,,,,,,,,,,,
Universidad de León,,,,,,,,,,,,,,,,,,,,,,,,,
IU International University of Applied Sciences,,,,,,,,,,,,,,,,,,,,,,,,,
Effat University,53+,2.75+,5.5+,,,,,,,80+,162+,,,,,,,,,,,,,,
University of Technology Sydney,79+,,6.5+,24+,550+,2.6+,176+,,1090+,,,,,58+,,69+,,,,,,,,,
Liverpool School of Tropical Medicine (LSTM),,,,,,,,,,,,,,,,,,,,,,,,,
Leiden University,80+,,6+,,,,180+,,,,,,,,,,,,,,,,,,
