University,GMAT,GPA,SAT,Own admission test,Year 12 scores,IELTS,TOEFL,GRE,ATAR,PTE Academic,Cambridge CAE Advanced,Bachelor GPA,International Baccalaureate,CAT,LSAT,A-levels,ACT
McDonough School of Business,650+,2+,1350+,,,,,,,,,,,,,,
Accademia Belle Arti Roma,,,,,,,,,,,,,,,,,
Universidad Privada Franz Tamayo,,,,,,,,,,,,,,,,,
Mount St Mary's College,,,,,,,,,,,,,,,,,
Plovdiv university ,,,,3+,4+,,,,,,,,,,,,
The CalArts School of Film and Video,,,,,,,,,,,,,,,,,
Prestige Institute of Management and Research,,,,,,,,,,,,,,,,,
New York State College of Ceramics at Alfred University,,,,,,,,,,,,,,,,,
Hillsborough Community College,,,,,,,,,,,,,,,,,
Northeastern University (China),,,,,,,,,,,,,,,,,
"Hochschule für Technik, Wirtschaft und Kultur Leipzig",,,,,,,,,,,,,,,,,
Universitas Islam Indonesia,,,,,,,,,,,,,,,,,
Instituto Nacional de Matemática Pura e Aplicada (IMPA),,,,,,,,,,,,,,,,,
Crowell School of Business,,,,,,,,,,,,,,,,,
University of Kerala,,,,,,,,,,,,,,,,,
School of the Art Institute of Chicago,,,,,,,,,,,,,,,,,
Thompson Rivers University,,,,,,,,,,,,,,,,,
Czech University of Life Sciences in Prague,,,,,,,,,,,,,,,,,
Wits Business School,,,,,,,,,,,,,,,,,
EPOKA University,,,,,,,,,,,,,,,,,
University of North Carolina at Asheville,,,,,,,,,,,,,,,,,
JCA London Fashion Academy,,,,,,,,,,,,,,,,,
Arab American University,,,,,,,,,,,,,,,,,
University of Ibadan,,,,,,,,,,,,,,,,,
Galean University,,,,,,,,,,,,,,,,,
Shenandoah University,,,,,,,,,,,,,,,,,
Sekolah Tinggi Seni Indonesia (STSI) Bandung,,,,,,,,,,,,,,,,,
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,,,,,,,,,,,,,,,,,
The University of Texas Health Science Center at Houston,,,,,,,,,,,,,,,,,
