University,Bachelor GPA,TOEFL,Own admission test,International Baccalaureate,GMAT,GPA,SAT,IELTS,PTE Academic,Cambridge CAE Advanced,Year 12 scores,LSAT,GRE,STAT,ATAR,ACT,AP,A-levels
Chapman Graduate School of Business - FIU,,,,,,,,,,,,,,,,,,
NIIT University,,,,,,,,,,,,,,,,,,
Grinnell College,,,,,,,,,,,,,,,,,,
Xi’an Jiaotong University,,,,,,,,,,,,,,,,,,
Gunma University,,,,,,,,,,,,,,,,,,
Indian Institute of Technology Madras (IITM),,,,,,,,,,,,,,,,,,
London College of Fashion,,,,,,,,,,,,,,,,,,
Universidad de Cienfuegos Carlos Rafael Rodríguez,,,,,,,,,,,,,,,,,,
Universidad Autónoma de Coahuila (UAdeC),8+,500+,,,,,,,,,,,,,,,,
Communication University of China,,,,,,,,,,,,,,,,,,
"Institut d'Optique, ParisTech",,,,,,,,,,,,,,,,,,
HEC Paris Executive MBA,,,,,,,,,,,,,,,,,,
Universidad Militar Nueva Granada,,,,,,,,,,,,,,,,,,
University of Ain Temouchent,,,10+,10+,,,,,,,,,,,,,,
Eastern Illinois University,,,,,400+,2+,960+,,,,,,,,,,,
Voronezh State Agrarian University n.a. Emperor Peter the Great,,,,,,,,,,,,,,,,,,
Universität Passau,,,,,,,,,,,,,,,,,,
Bard College,,,,,,,,,,,,,,,,,,
Universidad del CEMA,,,,,,,,,,,,,,,,,,
Canberra University of Technology,,,,,,,,,,,,,,,,,,
Universidad Autónoma de Bucaramanga - UNAB,,,,,,,,,,,,,,,,,,
East China Normal University,,,,,,,,,,,,,,,,,,
University of New England Australia,,87+,,,,2+,,6+,,,,,,,,,,
Stonehill College,,,,,,,,,,,,,,,,,,
Dalhousie University Business School,,90+,,26+,550+,3+,1100+,6.5+,61+,180+,,,,,,,,
AGH University of Krakow,,,,,,,,,,,,,,,,,,
Payame Noor University,,,,,,,,,,,,,,,,,,
Islamia College Peshawar,,,,,,,,,,,,,,,,,,
Universiti Teknologi MARA - UiTM,,,,,,,,,,,,,,,,,,
Government College Women University Sialkot,2+,,50+,,,,,,,,495+,,,,,,,
"The School of  Business, Economics and Law",,,,,,,,,,,,,,,,,,
Kookmin University ,,,,,,,,,,,,,,,,,,
Université de Strasbourg,,,,,,,,,,,,,,,,,,
Universidad Autonoma Chapingo,,,,,,,,,,,,,,,,,,
Kwangju Women`s University ,,,,,,,,,,,,,,,,,,
International Higher School of Medicine,,,,,,,,,,,,,,,,,,
"University of Illinois, Springfield (UIS)",,,,,,,,,,,,,,,,,,
Université Paul Sabatier Toulouse III,,,,,,,,,,,,,,,,,,
Next International Business School,,,,,,,,,,,,,,,,,,
Lebanese University,,,,,,,,,,,,,,,,,,
"Amity University, Haryana",,,50+,,,,,,,,,,,,,,,
Bina Nusantara University (BINUS),,,,,,,,,,,,,,,,,,
Regent's American College London,,,,,,,,,,,,,,,,,,
Osgoode Hall Law School International LLM Program,,,,,,,,,,,,,,,,,,
Sichuan University,,,,,,,,,,,,,,,,,,
The Pantheon Design & Technology Institute,,,,,,,,,,,,,,,,,,
Institut supérieur de commerce et d'administration des entreprises  ISCAE,,,,,,,,,,,,,,,,,,
Mount Holyoke College,,,,,,,,,,,,,,,,,,
Universitas Komputer Indonesia,,,50+,,,,,,,,,,,,,,,
Central Saint Martins,2+,,,24+,,,1020+,6+,,,,,,,,,,
University of North Carolina at Greensboro,,,,,,,,,,,,,,,,,,
Baekseok University ,,,,,,,,,,,,,,,,,,
Washington & Jefferson College,,,,,,,,,,,,,,,,,,
Lomonosov Moscow State University of Fine Chemical Technologies,,,,,,,,,,,,,,,,,,
Flanders Knowledge Area,,,,,,,,,,,,,,,,,,
The London Film School,,,,,,,,,,,,,,,,,,
EHL Swiss School of Tourism and Hospitality,,,,,,,,,,,,,,,,,,
Wofford College,,,,,,,,,,,,,,,,,,
Leeds Art University,,,,,,,,,,,,,,,,,,
Beijing Film Academy,,,,,,,,,,,,,,,,,,
"Platov South-Russian State Polytechnic University, NPI",,,,,,,,,,,,,,,,,,
Ulyanovsk State University,,,40+,,,120+,,,,,,,,,,,,
Virtual University of Pakistan,,,,,,,,,,,,,,,,,,
Loyola University New Orleans College of Law,,,,,,,,,,,,,,,,,,
Zicklin School of Business,,,,,,3+,,,,,,,,,,,,
