University,GPA,International Baccalaureate,SAT,ATAR,TOEFL,IELTS,ACT,GMAT,PTE Academic,GRE,Own admission test,Bachelor GPA,A-levels,Year 12 scores,Cambridge CAE Advanced,STAT,CAT
Zhangir khan West Kazakhstan Agrarian Technical University,,,,,,,,,,,,,,,,,
RMIT University,2+,25+,1060+,60+,79+,6.5+,21+,,,,,,,,,,
Royal Holloway University of London School of Business and Management,2.8+,,1270+,,80+,6.5+,,,,,,,,,,,
O.S. Popov Odessa National Academy of Telecommunications,,,,,,,,,,,,,,,,,
Polytechnic University,,,,,,,,,,,,,,,,,
Film and Television Institute of India,,,,,,,,,,,,,,,,,
George Mason University,2+,37+,1145+,,80+,6+,26+,620+,59+,315+,,,,,,,
Almaty University of Power Engineering and Telecommunications,,,,,,,,,,,,,,,,,
Universidade Salvador (UNIFACS),,,,,,,,,,,,,,,,,
South China Normal University,,,,,,,,,,,,,,,,,
University of Southern Mindanao,,,,,,,,,,,36+,,,,,,
College of Business,,,,,,,,,,,,,,,,,
Southwestern University of Finance and Economics,,,,,,,,,,,,,,,,,
Royal Holloway University of London School of Business and Management,2.8+,,1270+,,80+,6.5+,,,,,,,,,,,
Universidad Científica del Sur,,,,,,,,,,,,,,,,,
Emporia State University,,,,,,,,,,,,,,,,,
Arabian Gulf University,,,,,,,,,,,,,,,,,
Nagaoka University of Technology,,,,,,,,,,,,,,,,,
Taiyuan University of Technology,,,,,,,,,,,,,,,,,
Unity College,,,,,,,,,,,,,,,,,
University of Kwazulu-Natal,,,,,,,,,,,,,,,,,
Interregional Academy of Personnel Management,,,,,,,,,,,,,,,,,
National University of Tainan,,,,,,,,,,,,,,,,,
SRUC (Scotland's Rural College),,,,,,,,,,,,,,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar,,,,,,,,,,,,,,,,,
"University of Economics in Bratislava, Slovakia",,,,,,,,,,,,,,,,,
École Supérieure de Chimie Organique et Minérale (ESCOM),,,,,,,,,,,,,,,,,
China Europe International Business School (CEIBS),,,,,,,,,,,,,,,,,
École d'Ingénieurs ECAM Rennes,,,,,,,,,,,,,,,,,
