University,UG Programs,PG Programs
Tecnológico de Monterrey,ARQ Architecture; CI Civil Engineer; LUB Bachelor of Urbanism; BGB Bachelor of International Business; LAET Bachelor in Strategy and Business Transformation; LAF Bachelor of Finance; LCPF Bachelor of Public Accounting and Finance; LDE Bachelor of Entrepreneurship; LDO Bachelor in Development of Talent and Organizational Culture; LEM Bachelor of Marketing; LIN Bachelor of International Business; LIT Bachelor in Business Intelligence; LAD Bachelor of Digital Art; LC Bachelor in Communication; LDI Bachelor of Design; LEI Bachelor in Educational Innovation; LLE Bachelor in Hispanic Literature; LPE Bachelor of Journalism; LTM Bachelor of Music Technology and Production; IAG Engineer in Agri-Food Biosystems; IAL Food Engineer; IBT Biotechnology Engineer; IC Civil Engineer; IDM Engineer in Data Science and Mathematics; IDS Engineer in Sustainable Development; IE Electronics Engineer; IFI Industrial Physical Engineer; IID Innovation and Development Engineer; IIS Industrial and Systems Engineer; IM Mechanical Engineer; IMD Biomedical Engineer; IMT Mechatronics Engineer; INA Nanotechnology Engineer; IQ Chemical Engineer; IRS Digital Systems and Robotics Engineering; ITC Computer Technology Engineer; ITD Engineer in Digital Business Transformation; LBC Bachelor in Biosciences; LNB Bachelor of Nutrition and Integral Welfare; LPS Bachelor of Clinical and Health Psychology; MC Surgeon; MO Dental Surgeon; LEC Bachelor of Economic; LED Degree in LAw; LRI Bachelor of International Relations; LTP Bachelor in Government and Public Transformation,Master in Business Analytics; Master in Business Management; Master in Finance; Master in Finance Online; Master in Applied Artificial Intelligence (MNA-V); Master in Computer Science (MCC-I); Master in Cybersecurity (MCY); Master in Energy Management and Renewable Sources (MER-V); Master in Engineering Management (MEM); Master in Engineering with specialization in Quality Systems and Productivity (MIP-V); Master in Information Technology Management (MTI-V); Master in Innovation for Enterprise Development (MID-V); Master in Nanotechnology (MNT); Master in Science in Electronic Engineering (Electronic Systems) (MSE-E); Master in Urban Design and Architecture (MDU); Master of Science in Biotechnology (MBI); Master of Science in Engineering (MCI); Master of Science in Manufacturing Systems (MSM); Specialization in Applied Artificial Intelligence (ENA-V); Specialization in Logistics and Supply Chain (ELS); Specialization in Project Management (EPY); Master in Applied Economics (MEK); Master in Government and Public Transformation (MGT); Master in Law (MDP); Master in Law (MDP-V); Master in Prospective and Strategic Studies (MPE); Master in Public Administration and Public Policy (MAP); Master in Public Management (MGP-V); Master in Transnational Legal Practice (MPJ); Specialization in Applied Economics and Data Science (EEA); Specialization in Energy Management (EAE); Specialization in Public Decision Making and Data Science (ETD); Master in Digital Humanities Online (MHD-V); Master in Education Entrepreneurship Online (MTO-V); Master in Education Online (MEE-V); Master in Educational Technology Online (MTE-V); Master in Humanistics Studies (MEH); Specialization in Management for Educational Leadership and Innovation Online Modality (EGE-V); Specialization in Teaching and Assessment of English as a Second Language (EEE-V); Master in Biomedical Sciences (MBC); Residency in Anatomic Pathology (RAP); Residency in Anesthesiology (REA); Residency in Cardiology (RCR); Residency in Critical Care Medicine (REE); Residency in General Surgery (REC); Residency in Geriatrics (RGE); Residency in Health Care Quality (RCA); Residency in Internal Medicine (REM); Residency in Neonatology (RNE); Residency in Neurology (REU); Residency in Obstetrics and Gynecology (REG); Residency in Ophthalmology (REO); Residency in Pediatric Neurology (RNP); Residency in Pediatrics (REN); Residency in Psychiatry (RPS); Residency in Radiology and Imaging (RER); Residency in Urology (RUR)
Universidad de Lima,Accounting; Economics; International Business; Management; Marketing; Communication; Architecture; Civil Engineering; Industrial Engineering; Systems Engineering; Law; Psychology,Master in Communication and Content Management; Master of Business Administration (MBA); Master of Business Law; Master of Operations and Projects Management; Master of Taxation and Fiscal Policy; Master’s Program in Banking and Finance; Master’s Program in Innovation Management; Master’s Program in Marketing and Business Management
"European University, Georgia",Bachelor Program in Business Administration; Bachelor Program in Informatics; Bachelor Program in International Relations; Bachelor Program in Law; Bachelor Program in Tourism; Bachelor Program in Psychology,"Integrated (Bachelor-Master) Educational Program of Secondary Education Teachers of Mathematics; Integrated (Bachelor-Master) Educational Program of Secondary Education Teachers of Physics, Chemistry and Biology; Master Educational Program in Education Administration; Master Educational Program in Management; One-cycle Educational Program in Dental Medicine; One-cycle Educational Program in Dental Medicine (English language); One-cycle Educational Program in Medical Doctor; One-cycle Educational Program in Medical Doctor (English language); Integrated Master Educational Program in Veterinary"
Ecole Polytechnique,Bachelor of Science,"Executive Master; Ingénieur Polytechnicien Program; MSc&T Artificial Intelligence & Advanced Visual Computing; MSc&T Data Science For Business; MSc&T Data Science For Finance; MSc&T Data and Economics for Public Policy; MSc&T Economics for Smart Cities and Climate Policy; MSc&T Economics, Data Analytics and Corporate Finance; MSc&T Energy Environment: Science Technology and Management; MSc&T Environmental Engineering and Sustainability Management; MSc&T Internet of Things: Innovation and Management"
Rennes School of Business,Bachelor in Management 1st year,"Master in Culture, Creative and Luxury Industries; Master in Data Analysis, Intelligence and Security; Master in Digital Marketing Management; Master in International Finance; Master in Logistics and Supply Chain Management; Master in Management; Master in Strategic Management of Transitions"
Alma Mater Studiorum - Università di Bologna,"Bachelor of Marketing and Economics of the Agro-industrial System; Bachelor of Sciences and Culture of Gastronomy; Bachelor of Sciences and Technologies for Green and Landscape; Bachelor of Computer Engineering; Bachelor of Computer Science; Bachelor of Computer Science and Engineering; Bachelor of Computer Systems Technologies; Bachelor of Information Science for Management; Bachelor in Business and Economics; Bachelor of Business Administration; Bachelor of Business Economics; Bachelor of Economics and Business; Bachelor of Economics and Finance; Bachelor of Economics of Tourism; Bachelor of Economics, Markets and Institutions; Bachelor of Economics, Politics and Social Sciences; Bachelor of Management and Economics; Bachelor of Management and Marketing; Bachelor of Educator In Childhood Social Services; Bachelor of Expert in Social And Cultural Education - Bologna; Bachelor of Expert in Social and Cultural Education - Rimini; Bachelor of Aerospace Engineering; Bachelor of Architecture - Engineering; Bachelor of Automation Engineering; Bachelor of Biomedical Engineering; Bachelor of Building Construction Engineering; Bachelor of Chemical and Biochemical Engineering; Bachelor of Civil Engineering; Bachelor of Electrical Energy Engineering; Bachelor of Electronics and Telecommunications Engineering; Bachelor of Energy Engineering; Bachelor of Engineering Management; Bachelor of Environmental Engineering; Bachelor of Industrial Design; Bachelor of Mechanical Engineering - Bologna; Bachelor of Mechanical Engineering - Forlì; Bachelor of Mechatronics; Bachelor of Techniques for Construction and Land; Bachelor of Anthropology, Religions, Oriental Civilizations; Bachelor of Communication Sciences; Bachelor of Cultural Heritage; Bachelor of Drama, Art and Music Studies; Bachelor of Fashion Cultures and Practices; Bachelor of History; Bachelor of Humanities; Bachelor of Mediterranean History, Societies and Cultures; Bachelor of Philosophy; Bachelor of Foreign Languages and Literature; Bachelor of Language and Technologies for Intercultural Communication; Bachelor of Languages, Markets and Cultures of Asia and Mediterranean Africa; Bachelor of Employment and Business Relations Consultant; Bachelor of Legal Consultant in Business and Public Administration; Bachelor of Biomedical Laboratory Techniques; Bachelor of Dental Hygiene; Bachelor of Dietistic; Bachelor of Environment and Workplace Prevention Techniques; Bachelor of Imaging and Radiotherapy Techniques; Bachelor of Midwifery; Bachelor of Neurophysiopathology Techniques; Bachelor of Nursing - Bologna; Bachelor of Nursing - Ravenna; Bachelor of Nursing - Rimini; Bachelor of Orthopaedics Techniques; Bachelor of Physiotherapy; Bachelor of Podiatry; Bachelor of Professional Education; Bachelor of Speech and Language Therapy; Bachelor of Agricultural Technology; Bachelor of Animal Production; Bachelor of Food Technology; Bachelor of Land and Agro-forestry Technologies; Bachelor of Viticulture and Enology; Bachelor of Applied Pharmaceutical Sciences; Bachelor of Biotechnology; Bachelor of Genomics; Bachelor of European Studies; Bachelor of International Development and Cooperation; Bachelor of International Relations and Diplomatic Affairs; Bachelor of International Studies; Bachelor of Political, Social and International Sciences; Bachelor of Psychological Sciences and Techniques; Bachelor in Biology of Human and Environmental Health; Bachelor of Astronomy; Bachelor of Biological Sciences; Bachelor of Chemical Methodologies for Products and Processes; Bachelor of Chemistry and Materials Chemistry; Bachelor of Chemistry and Technologies for the Environment and Materials - Faenza; Bachelor of Chemistry and Technologies for the Environment and Materials - Rimini; Bachelor of Environmental Sciences; Bachelor of Geological Sciences; Bachelor of Industrial Chemistry; Bachelor of Mathematics; Bachelor of Natural Sciences; Bachelor of Physics; Bachelor of Social Work; Bachelor of Sociology; Bachelor of Exercise and Sport Sciences - Bologna; Bachelor of Exercise and Sport Sciences - Rimini; Bachelor of Statistical Sciences; Bachelor of Statistics, Finance and Insurance; Bachelor of Aquaculture and Fish Production Hygiene; Combined Bachelor and Master in Veterinary Medicine","Master in Plant and Agricultural Biotechnology; Master in Artificial Intelligence; Master in Computer Engineering; Master in Computer Science; Master in Computer Science and Engineering; Master in Digital Transformation Management; Master in Applied Economics and Markets; Master in Business Administration and Management; Master in Business Administration and Sustainability; Master in Economics and Commerce; Master in Economics and Econometrics; Master in Economics and Management; Master in Economics and Public Policy; Master in Economics, Consultancy and Accounting; Master in Health Economics and Management; Master in Innovation and Organization of Culture and the Arts; Master in International Management; Master in Law and Economics; Master in Law, Economics and Governance; Master in Management for Social Economy; Master in Resource Economics and Sustainable Development; Master in Service Management; Master in Tourism Economics and Management; Master of Financial Markets and Institutions; Combined Bachelor and Master in Primary Teacher Education; Master in Pedagogy - Science Of Education; Master in Planning and Managing of Educational Intervention in Social Distress - Bologna; Master in Planning and Managing of Educational Intervention in Social Distress - Rimini; Master in Science of Lifelong Educational Processes; Combined Bachelor and Master in Architecture; Master in Advanced Automotive Engineering; Master in Advanced Design; Master in Aerospace Engineering; Master in Architecture and Creative Practices for the City and Landscape; Master in Automation Engineering; Master in Biomedical Engineering; Master in Building Engineering-Architecture; Master in Chemical and Process Engineering; Master in Civil Engineering; Master in Electric Vehicle Engineering; Master in Electrical Energy Engineering; Master in Electronic Engineering; Master in Electronic Engineering for Intelligent Vehicles; Master in Electronics and Telecommunications Engineering for Energy; Master in Energy Engineering; Master in Engineering Management; Master in Engineering of Building Processes and Systems; Master in Environmental Engineering; Master in Mechanical Engineering; Master in Mechanical Engineering for Sustainability; Master in Offshore Engineering; Master in Telecommunications Engineering; Combined Bachelor and Master in Conservation and Restoration of Cultural Heritage; Master in Archaeology and Cultures of the Ancient World; Master in Cinema, Television and Multimedia Production; Master in Cultural Anthropology and Ethnology; Master in Data, Methods and Theoretical Models for Linguistics; Master in Digital Humanities and Digital Knowledge; Master in Fashion Studies; Master in Geography and Territorial Processes; Master in History and Oriental Studies; Master in History, Preservation and Enhancement of Artistic and Archaeological Heritage and Landscape; Master in Information, Cultures and Media Organisation; Master in International Cooperation on Human Rights and Intercultural Heritage; Master in Italian Studies, European Literary Cultures, Linguistics; Master in Library and Archive Science; Master in Music and Theatre Studies; Master in Philology, Literature and Classical Tradition; Master in Philosophical Sciences; Master in Religions Histories Cultures; Master in Sciences of Performing Arts and Audiovisual Production; Master in Semiotics; Master in Visual Arts; Master in Interpreting; Master in Italian Culture and Language for Foreigners; Master in Language, Society and Communication; Master in Modern, Post-colonial and Comparative Literatures; Master in Specialized Translation; Combined Bachelor and Master in Law - Bologna; Combined Bachelor and Master in Law - Ravenna; Master in Legal Studies; Combined Bachelor and Master in Medicine and Surgery (English); Combined Bachelor and Master in Medicine and Surgery - Bologna; Combined Bachelor and Master in Medicine and Surgery - Forlì; Combined Bachelor and Master in Medicine and Surgery - Ravenna; Combined Bachelor and Master in School of Dentistry; Master in Health Professions of Prevention Sciences; Master in Medical Biotechnology; Master in Nursing and Midwifery Sciences; Master in Agricultural Sciences and Technologies; Master in Food Safety and Food Risk Management; Master in Food Science and Technology; Master in International Horticultural Science; Master in Planning and Management of Agro-territorial, Forest and Landscape; Master in Precise and Sustainable Agriculture; Combined Bachelor and Master in Pharmaceutical Chemistry and Technology; Combined Bachelor and Master in Pharmacy - Bologna; Combined Bachelor and Master in Pharmacy - Rimini; Master in Bioinformatics; Master in Health Biology - Bologna; Master in Health Biology - Imola; Master in Molecular and Cell Biology; Master in Molecular and Industrial Biotechnology; Master in Pharmaceutical Biotechnology; Master in Digital Innovation Policies and Governance; Master in East European and Eurasian Studies; Master in International Politics and Economics; Master in International Relations; Master in International Relations and Diplomatic Affairs; Master in Local and Global Development; Master in Media, Public and Corporate Communication; Master in Politics Administration and Organization; Master in Applied Cognitive Psychology; Master in Clinical psychology; Master in Neurosciences and Neuro-Psychological Rehabilitation; Master in Psychology of Wellbeing and Social Inclusivity; Master in School and Community Psychology; Master in Work, Organizational and Personnel Psychology; Master in Advanced Cosmetic Sciences; Master in Advanced Methods in Particle Physics; Master in Advanced Spectroscopy in Chemistry; Master in Astrophysics and Cosmology; Master in Biodiversity and Evolution; Master in Chemical Innovation and Regulation; Master in Chemistry; Master in Environmental Assessment and Management; Master in Geology and Land Management; Master in Industrial Chemistry; Master in Low Carbon Technologies and Sustainable Chemistry; Master in Marine Biology; Master in Mathematics; Master in Photochemistry and Molecular Materials; Master in Physics; Master in Physics of the Earth System; Master in Science for the Conservation-Restoration of Cultural Heritage; Master in Science of Climate; Master in Sciences and Management of Nature; Master in Statistical Sciences; Master in Teaching and Communication of Natural Sciences; Master in Criminology for Investigation and Security; Master in Sociology and Social Work; Master in Human Nutrition, Well-Being and Health; Master in Sciences and Techniques of Preventive and Adapted Physical Activities; Master in Sciences and Techniques of Sports Activities; Master in Wellness and Sport Management; Master in Wellness, Sport and Health; Master in Greening Energy Market and Finance; Master in Quantitative Finance; Master in Statistical, Financial and Actuarial Sciences; Master in Statistics, Economics and Business; Master in Animal Biotechnology; Master in Food Animal Metabolism and Management in the Circular Economy; Master in Safety and Quality in Animal Production"
ESILV - Engineering School,,MSc Computer Science; MSc Cyber Resilience & Crisis Leadership; MSc Innovation & Creative Technology; Master Degree in Engineering (Grande Ecole Programme)
Tilburg University,"LLB Global Law; BA Theology; BSc Econometrics and Operations Research; BSc Economics; BSc Entrepreneurship and Business Innovation; BSc International Business Administration; Joint BSc in Data Science; BA Online Culture: Art, Media and Society; BSc Cognitive Science and Artificial Intelligence; BSc Global Management of Social Issues; BSc Human Resource Studies: People Management; BSc International Sociology; BSc Psychology; Leisure Studies BSc (BUas/Tilburg University); University College Tilburg: Liberal Arts and Sciences","European Law and Global Risk (LLM); International Business Law (LLM); International Business Tax Law (LLM); International Law and Global Governance (LLM); Labour Law and Employment Relations (LLM); Law and Technology (LLM); Public Governance: Public Administration, Economics and Law (MSc); Christianity and Society; Accountancy; Business Analytics and Operations Research; Data Science and Entrepreneurship (joint degree); Econometrics and Mathematical Economics; Economics; Finance; Information Management; International Business Taxation (LLM); International Management; Marketing Analytics; Marketing Management; Quantitative Finance and Actuarial Science; Research Master in Economics; Strategic Management: Consultancy; Supply Chain Management; Art and Media Studies; Business Communication and Digital Media; Cognitive Science and Artificial Intelligence; Communication and Cognition; Communication and Information Sciences; Data Science and Society; Digital Culture Studies; Health Humanities; Management of Cultural Diversity; New Media Design; Philosophy of Contemporary Challenges; Philosophy of Humanity and Culture; Philosophy of Mind and Psychology; Research Master in Linguistics and Communication Sciences; Cognitive Neuropsychology; Economic Psychology; Health, Wellbeing and Society; Human Resource Studies; Organization Studies; Organizing for Global Social Challenges; Politics, Policy and Societal Development; Positive Psychology and Well-being; Research Master in Psychology: Individual Differences and Assessment; Research Master in Social and Behavioral Sciences; Sociology; Work and Organizational Psychology"
Saveetha Institute of Medical And Technical Sciences (SIMATS),"Bachelor of Science (Hons) in Allied Health Sciences (Biomedical Sciences); Bachelor of Science (Hons) in Allied Health Sciences (CSSD and Surgical Technology); Bachelor of Science (Hons) in Allied Health Sciences (Cardio Vascular Perfusion Technology); Bachelor of Science (Hons) in Allied Health Sciences (Cardio Vascular Technology); Bachelor of Science (Hons) in Allied Health Sciences (Critical Care Technology); Bachelor of Science (Hons) in Allied Health Sciences (Dialysis Technology); Bachelor of Science (Hons) in Allied Health Sciences (Medical Imaging Technology); Bachelor of Science (Hons) in Allied Health Sciences (Medical Laboratory Technology); Bachelor of Science (Hons) in Allied Health Sciences (Medical Record Science); Bachelor of Science (Hons) in Allied Health Sciences (Neuro Electrophysiology); Bachelor of Science (Hons) in Allied Health Sciences (Optometry); Bachelor of Science (Hons) in Allied Health Sciences (Physician Assistant); Bachelor of Science (Hons) in Allied Health Sciences (Radiotherapy Technology); Bachelor of Science (Hons) in Allied Health Sciences (Reproductive Medicine and Embryology); Bachelor of Science (Hons) in Allied Health Sciences (Respiratory Technology); Bachelor of Science (Hons) in Allied Health Sciences (Sports and Exercise Sciences); Bachelor of Science (Hons) in Allied Health Sciences (Trauma Care Management); Bachelor of Science (Hons) in Allied Health Sciences (Urology Technology); Bachelor of Architecture; Bachelor of Arts in Bharatham; Bachelor of Business Administration; Bachelor of Commerce (Accounting & Finance); Bachelor of Commerce (Corporate Secretaryship); Bachelor of Commerce (General); Bachelor of Music; Bachelor of Science in Animation and Graphics; Bachelor of Science in Artificial Intelligence; Bachelor of Science in Computer Science; Bachelor of Science in Data Science; Bachelor of Science in Fashion Design; Bachelor of Science in Mass Media and Communication; Bachelor of Science in Visual Communication; Bachelor of Science in Nursing; Post Basic Bachelor of Science in Nursing; Bachelor of Occupational Therapy; Bachelor of Pharmacy; Bachelor of Physiotherapy; Bachelor of Dental Surgery; Bachelor of Science (Dental Technology); Bachelor of Engineering in Agriculture Engineering; Bachelor of Engineering in Biomedical Engineering; Bachelor of Engineering in Civil Engineering; Bachelor of Engineering in Computer Science and Engineering; Bachelor of Engineering in Computer Science and Engineering (Cyber Security); Bachelor of Engineering in Computer Science and Engineering (Internet of Things); Bachelor of Engineering in Electrical and Electronics Engineering; Bachelor of Engineering in Electronics and Communication Engineering; Bachelor of Engineering in Electronics and Instrumentation Engineering; Bachelor of Engineering in Mechanical Engineering; Bachelor of Engineering in Medical Electronics; Bachelor of Technology in Artificial Intelligence and Data Science; Bachelor of Technology in Artificial Intelligence and Machine Learning; Bachelor of Technology in Chemical Engineering; Bachelor of Technology in Information Technology; Bachelor of Medicine, Bachelor of Surgery; Bachelor of Arts, Bachelor of Law (Hons); Bachelor of Business Administration, Bachelor of Law (Hons); Bachelor of Commerce, Bachelor of Law (Hons)","Master of Science in Cardio Vascular Perfusion Technology; Master of Science in Clinical Psychology; Master of Science in Critical Care Technology; Master of Science in Medical Imaging Technology; Master of Science in Medical Laboratory Technology; Master of Science in Neuro Electrophysiology; Master of Science in Optometry; Master of Science in Respiratory Therapy; Master of Science in Trauma Care Management; Master of Science in Nursing; Master of Science in Nursing (Nurse Practitioner in Critical Care); Master of Occupational Therapy (Hand Rehabilitation); Master of Occupational Therapy (Mental Health); Master of Occupational Therapy (Neurosciences); Master of Occupational Therapy (Orthopaedics); Master of Occupational Therapy (Paediatrics); Master of Physiotherapy (Cardiopulmonary); Master of Physiotherapy (Community, Geriatrics and Palliative care Exercise); Master of Physiotherapy (Exercise and Kinesiotherapy); Master of Physiotherapy (General and Hand Surgery); Master of Physiotherapy (Neurology); Master of Physiotherapy (Orthopaedics and Manual Therapy); Master of Physiotherapy (Paediatrics); Master of Physiotherapy (Sports and Manual Therapy); Master of Physiotherapy (Urology and Obstetrics); Master of Dental Surgery (Endodontics); Master of Dental Surgery (Oral Medicine); Master of Dental Surgery (Oral Pathology); Master of Dental Surgery (Oral Surgery); Master of Dental Surgery (Orthodontics); Master of Dental Surgery (Periodontics); Master of Dental Surgery (Prosthodontics); Master of Dental Surgery (Public Health Dentistry); Master of Science in CAD CAM Dentistry; Master of Science in Dental Technology; Master of Science in Forensic Odontology; Master of Science in Implantology; Master of Science in Oral Biology (2 years); Master of Science in Oral Biology (3 years); Master of Engineering in Communication Systems; Master of Engineering in Computer Science Engineering; Master of Engineering in Power Systems; Master of Engineering in Product Design and Development; Master of Engineering in Structural Engineering; Master of Science in Anatomy; Master of Science in Exercise Physiology and Sports Nutrition; Master of Science in Medical Anatomy; Master of Science in Medical Biochemistry; Master of Science in Medical Microbiology; Master of Science in Medical Physiology; Master of Science in Obstetrics and Gynecology; Master of Science in Ophthalmology; Master of Science in Orthopedics; Master of Science in Otorhinolaryngology; Master of Science in Pharmacology; Master of Science in Sports Bio-Mechanics; Master of Law"
University of New York in Prague,American Bachelor of Science in Business Administration; Bachelor of Business Administration – Concentration in Behavioral Economics; Bachelor of Business Administration – Concentration in Data Analytics; Bachelor of Business Administration – Concentration in Entrepreneurship; Bachelor of Information Technology; European Bachelor in Business Administration – Concentration in Finance; European Bachelor in Business Administration – Concentration in Human Resources; European Bachelor in Business Administration – Concentration in Marketing; European Bachelor in Business Administration – Concentration in Sports Management; European Bachelor of Business Administration; Bachelor of Communication & Media; Bachelor of Digital Media Arts; Bachelor of English Language & Literature; Bachelor of International Relations; Bachelor of Psychology,Master of Psychology (Mgr.)
