University,Year,Rank
Illinois Institute of Technology,2012 #401- 450,#401- 450
Illinois Institute of Technology,2014 #441-450,#441-450
Illinois Institute of Technology,2015 #431-440,#431-440
Illinois Institute of Technology,2016 #431-440,#431-440
Illinois Institute of Technology,2017 #401-410,#401-410
Illinois Institute of Technology,2018 #=395,#=395
Illinois Institute of Technology,2019 #=426,#=426
Illinois Institute of Technology,2020 #421,#421
Illinois Institute of Technology,2021 #426,#426
Illinois Institute of Technology,2022 #444,#444
Illinois Institute of Technology,2023 #=443,#=443
Illinois Institute of Technology,2024 #=469,#=469
South China Normal University,2024 #1201+,#1201+
CONSTANTINE THE PHILOSOPHER UNIVERSITY IN NITRA,2023 #201-210,#201-210
Ecole Nationale Superieure des Arts Decoratifs (ENSAD),2019 #51-100,#51-100
Ecole Nationale Superieure des Arts Decoratifs (ENSAD),2020 #27,#27
Ecole Nationale Superieure des Arts Decoratifs (ENSAD),2021 #=39,#=39
Ecole Nationale Superieure des Arts Decoratifs (ENSAD),2022 #30,#30
Ecole Nationale Superieure des Arts Decoratifs (ENSAD),2023 #37,#37
Athens University of Economics and Business,2012 #601+,#601+
Athens University of Economics and Business,2014 # 701+,# 701+
Athens University of Economics and Business,2015 # 701+,# 701+
Athens University of Economics and Business,2016 #701+,#701+
Athens University of Economics and Business,2017 #701+,#701+
Athens University of Economics and Business,2018 #801-1000,#801-1000
Athens University of Economics and Business,2019 #801-1000,#801-1000
Athens University of Economics and Business,2020 #801-1000,#801-1000
Athens University of Economics and Business,2021 #801-1000,#801-1000
Athens University of Economics and Business,2022 #1001-1200,#1001-1200
Athens University of Economics and Business,2023 #1001-1200,#1001-1200
Athens University of Economics and Business,2024 #901-950,#901-950
Shandong University,2012 #601+,#601+
Shandong University,2014 #651-700,#651-700
Shandong University,2015 #551-600,#551-600
Shandong University,2016 #551-600,#551-600
Shandong University,2017 #501-550,#501-550
Shandong University,2018 #551-600,#551-600
Shandong University,2019 #541-550,#541-550
Shandong University,2020 #468,#468
Shandong University,2021 #485,#485
Shandong University,2022 #=403,#=403
Shandong University,2023 #=396,#=396
Shandong University,2024 #=360,#=360
Universidade Anhembi Morumbi,2024 #=269,#=269
Conservatoire royal de Bruxelles,2016 #41,#41
Conservatoire royal de Bruxelles,2021 #51-100,#51-100
Conservatoire royal de Bruxelles,2022 #51-100,#51-100
Conservatoire royal de Bruxelles,2023 #51-100,#51-100
ESE Business School,2020 #7,#7
Nanjing Normal University,2023 #1001-1200,#1001-1200
Nanjing Normal University,2024 #1001-1200,#1001-1200
Morgan State University,2021 #251-300,#251-300
Guangdong University of Foreign studies,2021 #201-250,#201-250
Guangdong University of Foreign studies,2022 #151-200,#151-200
Guangdong University of Foreign studies,2023 #251-300,#251-300
Guangdong University of Foreign studies,2023 #151-200,#151-200
"University of Maryland, Robert H. Smith School of Business",2021 #24,#24
"University of Maryland, Robert H. Smith School of Business",2022 #26,#26
"University of Maryland, Robert H. Smith School of Business",2023 #28,#28
"University of Maryland, Robert H. Smith School of Business",2024 #28,#28
University of Ostrava,2020 #801-1000,#801-1000
University of Ostrava,2021 #1001+,#1001+
University of Ostrava,2022 #1001-1200,#1001-1200
University of Ostrava,2023 #1001-1200,#1001-1200
University of Ostrava,2024 #1201-1400,#1201-1400
The Rockefeller University,2013 #101-150,#101-150
The Rockefeller University,2013 #=32,#=32
The Rockefeller University,2014 #51-100,#51-100
The Rockefeller University,2014 #=31,#=31
The Rockefeller University,2015 #=31,#=31
The Rockefeller University,2015 #51-100,#51-100
The Rockefeller University,2015 #301-400,#301-400
The Rockefeller University,2016 #21,#21
The Rockefeller University,2016 #51-100,#51-100
The Rockefeller University,2016 #301-400,#301-400
The Rockefeller University,2017 #=27,#=27
The Rockefeller University,2017 #83,#83
The Rockefeller University,2017 #401-450,#401-450
The Rockefeller University,2017 #51-100,#51-100
The Rockefeller University,2018 #=34,#=34
The Rockefeller University,2018 #51-100,#51-100
The Rockefeller University,2018 #=119,#=119
The Rockefeller University,2019 #=130,#=130
The Rockefeller University,2019 #551-600,#551-600
The Rockefeller University,2019 #=45,#=45
The Rockefeller University,2019 #51-100,#51-100
The Rockefeller University,2020 #47,#47
The Rockefeller University,2020 #551-600,#551-600
The Rockefeller University,2020 #101-150,#101-150
The Rockefeller University,2020 #140,#140
The Rockefeller University,2021 #=142,#=142
The Rockefeller University,2021 #=147,#=147
The Rockefeller University,2021 #501-550,#501-550
The Rockefeller University,2021 #=37,#=37
The Rockefeller University,2022 #=166,#=166
The Rockefeller University,2022 #=44,#=44
The Rockefeller University,2022 #551-600,#551-600
The Rockefeller University,2022 #151-200,#151-200
The Rockefeller University,2023 #182,#182
The Rockefeller University,2023 #53,#53
The Rockefeller University,2023 #151-200,#151-200
Technische Universität Wien,2012 #274,#274
Technische Universität Wien,2014 #264,#264
Technische Universität Wien,2015 #=246,#=246
Technische Universität Wien,2016 #197,#197
Technische Universität Wien,2017 #=183,#=183
Technische Universität Wien,2018 #=182,#=182
Technische Universität Wien,2019 #199,#199
Technische Universität Wien,2020 #192,#192
Technische Universität Wien,2021 #191,#191
Technische Universität Wien,2022 #=180,#=180
Technische Universität Wien,2023 #=179,#=179
Technische Universität Wien,2024 #=184,#=184
Bahauddin Zakariya University ,2022 #1201+,#1201+
Bahauddin Zakariya University ,2023 #1201-1400,#1201-1400
Bahauddin Zakariya University ,2024 #1201-1400,#1201-1400
Universidade Federal do Rio Grande Do Sul ,2012 #501- 550,#501- 550
Universidade Federal do Rio Grande Do Sul ,2014 #501-550,#501-550
Universidade Federal do Rio Grande Do Sul ,2015 #471-480,#471-480
Universidade Federal do Rio Grande Do Sul ,2016 #451-460,#451-460
Universidade Federal do Rio Grande Do Sul ,2017 #461-470,#461-470
Universidade Federal do Rio Grande Do Sul ,2018 #501-550,#501-550
Universidade Federal do Rio Grande Do Sul ,2019 #601-650,#601-650
Universidade Federal do Rio Grande Do Sul ,2020 #651-700,#651-700
Universidade Federal do Rio Grande Do Sul ,2021 #701-750,#701-750
Universidade Federal do Rio Grande Do Sul ,2022 #751-800,#751-800
Universidade Federal do Rio Grande Do Sul ,2023 #751-800,#751-800
Universidade Federal do Rio Grande Do Sul ,2024 #691-700,#691-700
Panjab University,2016 #701+,#701+
Panjab University,2017 #701+,#701+
Panjab University,2018 #801-1000,#801-1000
Panjab University,2021 #1001+,#1001+
Panjab University,2022 #1001-1200,#1001-1200
Panjab University,2023 #1201-1400,#1201-1400
Panjab University,2024 #1001-1200,#1001-1200
Universidade Federal Rural de Pernambuco (UFRPE),2024 #=233,#=233
University of Notre Dame,2012 #235,#235
University of Notre Dame,2014 #224,#224
University of Notre Dame,2015 #237,#237
University of Notre Dame,2016 #=195,#=195
University of Notre Dame,2017 #=203,#=203
University of Notre Dame,2018 #216,#216
University of Notre Dame,2019 #=212,#=212
University of Notre Dame,2020 #210,#210
University of Notre Dame,2021 #211,#211
University of Notre Dame,2022 #222,#222
University of Notre Dame,2023 #=243,#=243
University of Notre Dame,2024 #=304,#=304
University of Carthage,2018 #91-100,#91-100
University of Carthage,2019 #61-70,#61-70
University of Carthage,2020 #71-80,#71-80
University of Carthage,2021 #81-90,#81-90
University of Carthage,2022 #71-80,#71-80
University of Carthage,2023 #71-80,#71-80
University of Carthage,2024 #71-80,#71-80
Vistula University,2024 #=81,#=81
Lamar University,2021 #301-350,#301-350
Universidad Iberoamericana Puebla,2024 #=31,#=31
Universidad Mayor de San Francisco Xavier,2024 #=269,#=269
Nanjing University of Science and Technology,2021 #701-750,#701-750
Nanjing University of Science and Technology,2022 #601-650,#601-650
Nanjing University of Science and Technology,2023 #601-650,#601-650
Nanjing University of Science and Technology,2024 #=600,#=600
Tabriz University of Medical Sciences,2017 #401-450,#401-450
Tabriz University of Medical Sciences,2018 #451-500,#451-500
Tabriz University of Medical Sciences,2020 #501-550,#501-550
Tabriz University of Medical Sciences,2021 #601-650,#601-650
Tabriz University of Medical Sciences,2022 #301-350,#301-350
Tabriz University of Medical Sciences,2022 #601-650,#601-650
Tabriz University of Medical Sciences,2023 #251-300,#251-300
Tabriz University of Medical Sciences,2023 #501-550,#501-550
Universidade Federal de São Paulo,2012 #401- 450,#401- 450
Universidade Federal de São Paulo,2014 #411-420,#411-420
Universidade Federal de São Paulo,2015 #421-430,#421-430
Universidade Federal de São Paulo,2016 #491-500,#491-500
Universidade Federal de São Paulo,2017 #501-550,#501-550
Universidade Federal de São Paulo,2018 #501-550,#501-550
Universidade Federal de São Paulo,2019 #=464,#=464
Universidade Federal de São Paulo,2020 #439,#439
Universidade Federal de São Paulo,2021 #420,#420
Universidade Federal de São Paulo,2022 #=434,#=434
Universidade Federal de São Paulo,2023 #=441,#=441
Universidade Federal de São Paulo,2024 #731-740,#731-740
Hunan University ,2018 #701-750,#701-750
Hunan University ,2019 #701-750,#701-750
Hunan University ,2020 #701-750,#701-750
Hunan University ,2021 #601-650,#601-650
Hunan University ,2022 #571-580,#571-580
Hunan University ,2023 #591-600,#591-600
Hunan University ,2024 #=494,#=494
Mie University,2015 #301-400,#301-400
Mie University,2017 #401-450,#401-450
Mie University,2018 #401-450,#401-450
Mie University,2019 #451-500,#451-500
Mie University,2020 #551-600,#551-600
Mie University,2021 #601-650,#601-650
Gadjah Mada University,2012 #401- 450,#401- 450
Gadjah Mada University,2014 #501-550,#501-550
Gadjah Mada University,2015 #551-600,#551-600
Gadjah Mada University,2016 #551-600,#551-600
Gadjah Mada University,2017 #501-550,#501-550
Gadjah Mada University,2018 #401-410,#401-410
Gadjah Mada University,2019 #=391,#=391
Gadjah Mada University,2020 #320,#320
Gadjah Mada University,2021 #254,#254
Gadjah Mada University,2022 #254,#254
Gadjah Mada University,2023 #231,#231
Gadjah Mada University,2024 #263,#263
Universidad Metropolitana,2016 #701+,#701+
Universidad Metropolitana,2017 #701+,#701+
Universidad Metropolitana,2018 #801-1000,#801-1000
Universidad Metropolitana,2019 #801-1000,#801-1000
Universidad Metropolitana,2020 #1001+,#1001+
Universidad Metropolitana,2021 #1001+,#1001+
Universidad Metropolitana,2022 #1001-1200,#1001-1200
Universidad Metropolitana,2023 #1201-1400,#1201-1400
Universidad Metropolitana,2024 #1001-1200,#1001-1200
Charles University,2012 #286,#286
Charles University,2014 #=233,#=233
Charles University,2015 #244,#244
Charles University,2016 #279,#279
Charles University,2017 #=302,#=302
Charles University,2018 #=314,#=314
Charles University,2019 #=317,#=317
Charles University,2020 #291,#291
Charles University,2021 #260,#260
Charles University,2022 #=266,#=266
Charles University,2023 #=288,#=288
Charles University,2024 #=248,#=248
Towson University,2021 #301-350,#301-350
Indian Institute of Technology Delhi (IITD),2012 #212,#212
Indian Institute of Technology Delhi (IITD),2014 #222,#222
Indian Institute of Technology Delhi (IITD),2015 #=235,#=235
Indian Institute of Technology Delhi (IITD),2016 #179,#179
Indian Institute of Technology Delhi (IITD),2017 #=185,#=185
Indian Institute of Technology Delhi (IITD),2018 #172,#172
Indian Institute of Technology Delhi (IITD),2019 #=172,#=172
Indian Institute of Technology Delhi (IITD),2020 #182,#182
Indian Institute of Technology Delhi (IITD),2021 #193,#193
Indian Institute of Technology Delhi (IITD),2022 #185,#185
Indian Institute of Technology Delhi (IITD),2023 #=174,#=174
Indian Institute of Technology Delhi (IITD),2024 #197,#197
Universidad Autónoma de Baja California,2021 #1001+,#1001+
Universidad Autónoma de Baja California,2022 #1201+,#1201+
Universidad Autónoma de Baja California,2023 #1201-1400,#1201-1400
