University Name,Total Students,International Students,Total Staffs
Hong Kong Shue Yan University,3793.0,405.0,174.0
Norwegian University of Life Sciences,,,
Ecole Nationale Supérieure d'Architecture de Paris-La Villette,,,
Universidade Federal da Paraíba,41204.0,147.0,2395.0
Universidad Argentina John F. Kennedy,,,
Cornell University,25148.0,6140.0,2916.0
Wageningen University & Research,15376.0,4401.0,2921.0
Universidad de El Salvador - UES,49141.0,,0.0
Academy of Sciences of the Czech Republic,,,
"Government College University, Faisalabad",22191.0,11.0,846.0
Amsterdam Business School,,,
School of Business and Management,,,
Ataturk University,51092.0,2062.0,1910.0
Universitas Amikom Yogyakarta,11589.0,9.0,421.0
Ubonratchathani Rajabhat University ,,,
Moscow State Conservatory P. I. Tchaikovsky,,,
Swarthmore College,1643.0,255.0,246.0
Universidad Católica de El Salvador,5464.0,,290.0
SUNY Oswego,,,
Fo Guang University (Buddha's Light University),,,
Archimedes Foundation / Study in Estonia,,,
National Aviation University,12704.0,662.0,1272.0
Medizinische Hochschule Hannover,,,
Parsons School of Design at The New School,,,
Volga state academy of water transport,,,
Hamdan Bin Mohammed Smart University (HBMSU),,,
Voronezh State Technical University,13187.0,743.0,1034.0
École Centrale de Lille,,,
Nanhua University,5143.0,403.0,487.0
SGH Warsaw School of Economics,,,
University of Palermo,28571.0,504.0,1418.0
"Theatre Academy, University of the Arts Helsinki",,,
Dalhousie University Business School,17074.0,4676.0,1558.0
Moscow State University of Food Production,4511.0,354.0,619.0
China University of Geosciences,26798.0,795.0,3191.0
Tokyo University of Agriculture and Technology ,5763.0,484.0,409.0
Lahore Garrison University,5214.0,4.0,296.0
University of Miami,17815.0,2446.0,3041.0
University of Silesia in Katowice,18594.0,692.0,1842.0
Universidad de Salamanca,,,
EENI The Global Business School,,,
STMIK -STIE Mikroskil,,,
Belarusian State Academy of Music (BGAM),,,
Industrial University of Tyumen (IUT),14472.0,725.0,939.0
Notre Dame of Maryland University,,,
JCA London Fashion Academy,,,
Cambridge Judge Business School,,,
EURECOM,,,
Telecom Paris,,,
Interregional Open Social Institute,0.0,0.0,0.0
Bina Nusantara University (BINUS),13289.0,653.0,1094.0
University of Lisbon ,49161.0,7885.0,3436.0
Nanzan University,9618.0,119.0,497.0
"California Polytechnic State University, Orfalea College of Business",,,
Butler University,,,
Universidade de Santa Cruz do Sul,14528.0,,589.0
ISAM International School of Agri Management,,,
Prestige Institute of Management and Research,,,
Center for American Education,,,
Texas A&M University,64752.0,6621.0,3049.0
Jerusalem College of Technology ,,,
Conservatoire national supérieur d’art dramatique de Paris (CNSAD),,,
Saint Petersburg Electrotechnical University ETU-LETI,8537.0,1771.0,964.0
Hochschule für Künste Bremen,,,
Marist College,,,
Universidad Rey Juan Carlos,39964.0,4351.0,2454.0
"IAE Business School, Universidad Austral",,,
Academia Idiomas Smart,,,
Södertörns University College,,,
Perth Graduate School of Business,,,
Conservatoire national supérieur d’art dramatique de Paris (CNSAD),,,
Isra University,,,
Pohang University of Science And Technology (POSTECH),3172.0,91.0,733.0
Assumption College,,,
Creighton University,,,
University of Nottingham Malaysia,,,
"Vietnam National University, Hanoi ",53593.0,267.0,3145.0
Semyung University,7781.0,230.0,390.0
Czech College ,,,
BPP University,,,
Universidad de La Serena,8170.0,61.0,318.0
Siberian State University of Telecommunications and Information Sciences,,,
Zhengzhou University,68624.0,1827.0,3361.0
Princeton University,8393.0,1912.0,1070.0
Liverpool Hope University,,,
Tajik National University,19761.0,134.0,1392.0
Universidad Arturo Prat ,11532.0,833.0,504.0
University of Qom,,,
The London Film School,,,
Ho Chi Minh City University of Technology (HUTECH),,,
Daejeon University ,9472.0,323.0,569.0
UNIVERSITAS MEDAN AREA,,,
Bryansk State Technical University (BSTU),,,
Marymount Manhattan College,,,
Fundació Politècnica de Catalunya,,,
Jerash Private University,4333.0,0.0,155.0
Gorontalo State University (GSU),,,
Villanova School of Business,,,
Ilia State University,,,
Ponce School of Medicine,,,
Universidad CES,6582.0,158.0,740.0
Centre for International Mobility (CIMO),,,
Universidad Autonoma Chapingo,6228.0,47.0,1092.0
Cornell College,,,
Ecole Nationale Supérieure d'Architecture de Paris-Belleville,,,
UNIVERSIDAD DE HUELVA,,,
Chulalongkorn Business School,,,
University College Plymouth St Mark & St John,,,
D. Serikbayev East Kazakhstan Technical University,5026.0,147.0,618.0
Universidad de Occidente (UdeO),10049.0,,548.0
Trinity Laban Conservatoire of Music and Dance,,,
Johannes Gutenberg Universität Mainz,30752.0,3516.0,3622.0
Ryukoku University ,20360.0,286.0,871.0
Bowdoin College,,,
Warsaw University of Technology,,,
National Technical University of Ukraine ,21772.0,593.0,2523.0
Sulaimani Polytechnic University,,,
University of Southeastern Philippines,18420.0,0.0,468.0
Zhytomyr Ivan Franko State University,,,
University of Science and Technology of Southern Philippines,,,
Vyatka State Humanities University,,,
Siena College,,,
Zeppelin University,,,
Nanjing University of Aeronautics and Astronautics,30178.0,1076.0,2129.0
Drake University,,,
British-Kazakh University,,,
Okayama University,13130.0,834.0,1643.0
University of Bucharest,31877.0,569.0,1748.0
Yuan Ze University,6852.0,577.0,422.0
The Holon Academic Institute of Technology,,,
Bukhara State Medical Institute named after Abu Ali ibn Sino,,,
Jackson State University,,,
Universidad de Sevilla,49598.0,5637.0,3804.0
Islamia College Peshawar,6587.0,102.0,252.0
University of Navarra School of Economics and Business,,,
Medical University of the Americas,,,
University of Greenwich,21336.0,10983.0,975.0
Swedish University of Agricultural Sciences ,,,
Ogarev Mordovia State University ,12702.0,2153.0,1197.0
Manchester Metropolitan University,31503.0,5858.0,1909.0
Graduate School of Education and Psychology,,,
Cebu Normal University,,,
