University Name,Total Students,International Students,Total Staffs
Chapman Graduate School of Business - FIU,,,
NIIT University,,,
Grinnell College,,,
Xi’an Jiaotong University,52368.0,2381.0,4009.0
Gunma University,6259.0,255.0,1076.0
Indian Institute of Technology Madras (IITM),10933.0,94.0,982.0
London College of Fashion,,,
Universidad de Cienfuegos Carlos Rafael Rodríguez,3435.0,,794.0
Universidad Autónoma de Coahuila (UAdeC),25996.0,,2701.0
Communication University of China,12772.0,624.0,1039.0
"Institut d'Optique, ParisTech",,,
HEC Paris Executive MBA,,,
Universidad Militar Nueva Granada,1605.0,,931.0
University of Ain Temouchent,,,
Eastern Illinois University,,,
Voronezh State Agrarian University n.a. Emperor Peter the Great,7050.0,605.0,910.0
Universität Passau,,,
Bard College,,,
Universidad del CEMA,8437.0,41.0,250.0
Canberra University of Technology,,,
Universidad Autónoma de Bucaramanga - UNAB,6207.0,40.0,466.0
East China Normal University,29143.0,3697.0,2336.0
University of New England Australia,17233.0,989.0,575.0
Stonehill College,,,
Dalhousie University Business School,17074.0,4676.0,1558.0
AGH University of Krakow,18731.0,914.0,2100.0
Payame Noor University,450135.0,,3471.0
Islamia College Peshawar,6587.0,102.0,252.0
Universiti Teknologi MARA - UiTM,55108.0,1162.0,4344.0
Government College Women University Sialkot,7023.0,,224.0
"The School of  Business, Economics and Law",,,
Kookmin University ,16426.0,2157.0,1531.0
Université de Strasbourg,50277.0,9111.0,2544.0
Universidad Autonoma Chapingo,6228.0,47.0,1092.0
Kwangju Women`s University ,,,
International Higher School of Medicine,,,
"University of Illinois, Springfield (UIS)",,,
Université Paul Sabatier Toulouse III,29033.0,4049.0,3029.0
Next International Business School,,,
Lebanese University,47334.0,7754.0,3206.0
"Amity University, Haryana",,,
Bina Nusantara University (BINUS),13289.0,653.0,1094.0
Regent's American College London,,,
Osgoode Hall Law School International LLM Program,,,
Sichuan University,48058.0,2724.0,3173.0
The Pantheon Design & Technology Institute,,,
Institut supérieur de commerce et d'administration des entreprises  ISCAE,,,
Mount Holyoke College,,,
Universitas Komputer Indonesia,,,
Central Saint Martins,,,
University of North Carolina at Greensboro,15715.0,440.0,984.0
Baekseok University ,,,
Washington & Jefferson College,,,
Lomonosov Moscow State University of Fine Chemical Technologies,,,
Flanders Knowledge Area,,,
The London Film School,,,
EHL Swiss School of Tourism and Hospitality,,,
Wofford College,,,
Leeds Art University,,,
Beijing Film Academy,,,
"Platov South-Russian State Polytechnic University, NPI",7154.0,187.0,0.0
Ulyanovsk State University,641.0,22.0,1317.0
Virtual University of Pakistan,,,
Loyola University New Orleans College of Law,,,
Zicklin School of Business,,,
Islamic Azad University,1177977.0,,26962.0
Sun Moon University,9499.0,1273.0,531.0
Tokushima University,7467.0,184.0,966.0
Williams College,,,
University of Vaasa,,,
John Paul II Catholic University of Lublin,,,
Brock University ,,,
Université d'Orléans,,,
Hanoi National University of Education,15901.0,113.0,869.0
Universidade Federal do Triângulo Mineiro,6945.0,16.0,596.0
"Escuela de Postgrado de las Facultades de Ingeniería, Economía y Empresa",,,
"Chaudhary Charan Singh University, Meerut",4568.0,,237.0
Central Mindanao University ,46904.0,70.0,363.0
Católica Porto Business School,,,
Russian New University RosNOU,2886.0,278.0,319.0
Universiti Sultan Zainal Abidin,10642.0,783.0,724.0
University of Mobile,,,
Yerevan State University,11981.0,160.0,1497.0
University of Central Florida,54417.0,2641.0,2017.0
Universiti Malaysia Perlis,10980.0,490.0,793.0
University of St.Gallen (HSG),9121.0,2758.0,490.0
Université Montpellier 1,,,
Nove de Julho University - UNINOVE,108567.0,652.0,3913.0
Marymount Manhattan College,,,
The John Marshall Law School,,,
New York University (NYU),47051.0,17335.0,7715.0
Batterjee Medical College,,,
Indian Institute of Technology Madras (IITM),10933.0,94.0,982.0
Bergen University College,,,
Shanghai Maritime University,21868.0,,1354.0
Tarlac State University,,,
Athabasca University,,,
Escuela Colombiana de Ingeniería Julio Garavito ,4668.0,,500.0
Universidad Central del Ecuador,30871.0,,2045.0
Universidad Nacional de Lujan,21726.0,,1720.0
Mahidol University,28605.0,1554.0,4067.0
Foothill College,,,
İstanbul Medipol University,21056.0,1251.0,1479.0
École Nationale Supérieure d'Agronomie et des Industries Alimentaires (ENSAIA),,,
Berry College,,,
GC University Faisalabad,,,
University of Miami,17815.0,2446.0,3041.0
