No.,University,URL
1,Tecnológico de Monterrey,https://www.topuniversities.com/universities/tecnologico-de-monterrey
2,Universidad de Lima,https://www.topuniversities.com/universities/universidad-de-lima
3,"European University, Georgia",https://www.topuniversities.com/universities/european-university-georgia
4,Ecole Polytechnique,https://www.topuniversities.com/universities/ecole-polytechnique
5,Rennes School of Business,https://www.topuniversities.com/universities/rennes-school-business
6,Alma Mater Studiorum - Università di Bologna,https://www.topuniversities.com/universities/alma-mater-studiorum-universita-di-bologna
7,ESILV - Engineering School,https://www.topuniversities.com/universities/esilv-engineering-school
8,Tilburg University,https://www.topuniversities.com/universities/tilburg-university
9,Saveetha Institute of Medical And Technical Sciences (SIMATS),https://www.topuniversities.com/universities/saveetha-institute-medical-technical-sciences-simats
10,University of New York in Prague,https://www.topuniversities.com/universities/university-new-york-prague
1,Airlangga University,https://www.topuniversities.com/universities/airlangga-university
2,Dalhousie University,https://www.topuniversities.com/universities/dalhousie-university
3,University of the Fraser Valley,https://www.topuniversities.com/universities/university-fraser-valley
4,National University of Singapore (NUS),https://www.topuniversities.com/universities/national-university-singapore-nus
5,Università degli Studi di Udine,https://www.topuniversities.com/universities/universita-degli-studi-di-udine
6,Tilburg University,https://www.topuniversities.com/universities/tilburg-university
7,Future University in Egypt,https://www.topuniversities.com/universities/future-university-egypt
8,Southern Luzon State University,https://www.topuniversities.com/universities/southern-luzon-state-university
9,Seton Hall University,https://www.topuniversities.com/universities/seton-hall-university
10,Savannah College of Art and Design,https://www.topuniversities.com/universities/savannah-college-art-design
1,San Ignacio University,https://www.topuniversities.com/universities/san-ignacio-university
2,Berlin School of Business and Innovation,https://www.topuniversities.com/universities/berlin-school-business-innovation
3,Glion Institute of Higher Education,https://www.topuniversities.com/universities/glion-institute-higher-education
4,United International Business School (UIBS),https://www.topuniversities.com/universities/united-international-business-school-uibs
5,John Hopkins Carey Business School,https://www.topuniversities.com/universities/johns-hopkins-university/john-hopkins-carey-business-school
6,National Taiwan University of Science and Technology (Taiwan Tech),https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech
7,Department of Classics,https://www.topuniversities.com/universities/sapienza-university-rome/department-classics
8,"Lingnan University, Hong Kong",https://www.topuniversities.com/universities/lingnan-university-hong-kong
9,Al-Azhar University,https://www.topuniversities.com/universities/al-azhar-university
10,Technical University of Denmark,https://www.topuniversities.com/universities/technical-university-denmark
1,University of the West of England,https://www.topuniversities.com/universities/university-west-england
2,Universidad del Pacífico,https://www.topuniversities.com/universities/universidad-del-pacifico
3,IE School of Science and Technology,https://www.topuniversities.com/universities/ie-university/ie-school-science-technology
4,Trinity Business School,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin/trinity-business-school
5,Abai Kazakh National Pedagogical University,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university
6,Taylor's University,https://www.topuniversities.com/universities/taylors-university
7,IU International University of Applied Sciences,https://www.topuniversities.com/universities/iu-international-university-applied-sciences
8,Miami University,https://www.topuniversities.com/universities/miami-university
